Release Date,Time,Actual,Forecast,Previous
9-Apr-14,2:00,7.080M,2.500M,-5.800M
2-Apr-14,2:00,-5.800M,1.800M,6.280M
26-Mar-14,2:00,6.280M,2.600M,5.920M
19-Mar-14,2:00,5.920M,2.600M,2.600M
12-Mar-14,2:00,2.600M,2.300M,1.170M
5-Mar-14,3:00,1.170M,1.500M,0.822M
26-Feb-14,3:00,0.822M,1.500M,-0.473M
20-Feb-14,3:00,-0.47M,1.90M,2.10M
12-Feb-14,3:00,2.10M,2.50M,0.38M
5-Feb-14,3:00,0.38M,1.50M,4.75M
29-Jan-14,3:00,4.75M,2.10M,4.86M
23-Jan-14,3:00,4.86M,-1.90M,-4.14M
15-Jan-14,3:00,-4.14M,-1.60M,-7.31M
8-Jan-14,3:00,-7.31M,-3.30M,-5.67M
1-Jan-14,3:00,-5.67M,-3.00M,0.50M
25-Dec-13,3:00,0.50M,-,-2.50M
18-Dec-13,3:00,-2.50M,-4.00M,-7.50M
11-Dec-13,3:00,-7.50M,-2.80M,-12.40M
4-Dec-13,3:00,-12.40M,-1.25M,6.90M
27-Nov-13,3:00,6.90M,-1.50M,0.51M
